Gorod_PP_sokr;Город_ПП;ID;Год_Поступления;КодФакультета;Город_УЗ;Тип_УЗ;Пол;Основания;Изучаемый_Язык;Страна_ПП;Регион_ПП;Общежитие;Страна_Родители;Село;Иностранец;ЕГЭ;Общий балл;Тип паузы после УЗ;Месяц рождения;Наличие_Матери;Наличие_Отца;Статус;Код_группы;God_GR;Vozrast_to_VUS;Количество поступавших из города
Барнаул;Барнаул;49247;2013;27.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;69;поступил сразу;01;0;0.0;4;16836;1995;18.4166666666667;6861
Яровое;Яровое;69009;2014;25.0;иное;Училище;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;43;от 5 до 10 лет;08;1;1.0;4;18695;1985;28.8333333333333;50
Барнаул;Барнаул;83104;2017;25.0;иное;средняя школа;Жен;СН;Английский язык;Россия;не указано;0;Россия;0.0;0.0;1;50;поступил сразу;08;1;1.0;3;19016;1999;17.9166666666667;6861
малое поселение;Среднесибирский;52892;2013;51.0;иное;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;48;поступил сразу;10;0;0.0;3;11890;1995;17.75;5
малое поселение;Малиновский;90604;2019;28.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;54;поступил сразу;12;0;0.0;3;21948;1997;21.5833333333333;4
Яровое;Яровое;87940;2018;36.0;Барнаул;Колледж;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;58;поступил сразу;02;1;1.0;3;22824;1997;21.4166666666667;50
Барнаул;Барнаул;86225;2018;31.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;62;поступил сразу;12;1;1.0;-1;21997;2000;17.5833333333333;6861
Малиновое;Малиновое;77036;2016;41.0;Алтайский Край;средняя школа;Муж;БН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;0;64.995;поступил сразу;05;1;1.0;4;20934;1998;18.0833333333333;15
Барнаул;Барнаул;49555;2013;34.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;61;поступил сразу;02;0;0.0;4;18160;1995;18.4166666666667;6861
Новоалтайск;Новоалтайск;65369;2014;51.0;Новоалтайск;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;поступил сразу;07;0;0.0;3;18371;1996;17.9166666666667;398
Барнаул;Барнаул;84919;2018;27.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;54;поступил сразу;11;1;1.0;-1;21911;2000;17.5833333333333;6861
Черемшанка;Черемшанка;75589;2016;30.0;Барнаул;ФГБОУ ВО;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;69;поступил сразу;07;1;1.0;4;18660;1994;22;6
Новороманово;Новороманово;82661;2017;41.0;Алтайский Край;средняя школа;Жен;БН;Немецкий язык;Россия;Алтайский край;1;Россия;0.0;0.0;0;69.99;поступил сразу;02;1;1.0;4;20931;1999;18.3333333333333;6
Барнаул;Барнаул;66444;2014;25.0;Барнаул;ФГБОУ ВПО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;64;три года;07;0;0.0;3;15507;1988;26;6861
Барнаул;Барнаул;70982;2015;25.0;Таджикистан;Лицей;Муж;БН;Английский язык;Россия;Алтайский край;1;Таджикистан;0.0;1.0;1;63;поступил сразу;12;0;0.0;4;19471;1998;16.5833333333333;6861
Яровое;Яровое;58892;2012;25.0;иное;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;47;поступил сразу;01;1;1.0;4;17571;1995;17.5;50
Ракиты;Ракиты;77065;2016;41.0;Алтайский Край;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;0;68.07;поступил сразу;10;1;1.0;4;18735;1998;17.75;7
Барнаул;Барнаул;67051;2014;28.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;92;поступил сразу;01;0;0.0;4;18183;1997;17.5;6861
неизвестно;неизвестно;48494;2012;24.0;не указано;не указано;Жен;СН;нет данных;Россия;не указано;0;Россия;0.0;0.0;1;100;нет данных об обучении до ВУЗа;11;1;1.0;4;14662;1993;18.6666666666667;490
Новоалтайск;Новоалтайск;81122;2017;36.0;Новосибирск;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;87;три года;04;1;1.0;4;22115;1987;30.25;398
Барнаул;Барнаул;55416;2013;26.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;78;поступил сразу;09;0;0.0;4;17110;1995;17.8333333333333;6861
Барнаул;Барнаул;66114;2014;35.0;Таджикистан;Университет;Муж;ОО;нет данных;Россия;Алтайский край;1;Таджикистан;0.0;1.0;1;93;поступил сразу;09;0;0.0;4;15495;1993;20.8333333333333;6861
Барнаул;Барнаул;45702;2012;28.0;не указано;не указано;Муж;ЦН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;63;нет данных об обучении до ВУЗа;11;1;1.0;4;18129;1994;17.6666666666667;6861
Барнаул;Барнаул;74727;2016;51.0;Барнаул;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;73;поступил сразу;10;1;1.0;4;20664;1998;17.75;6861
Риддер;Риддер;74275;2016;34.0;Казахстан;средняя школа;Жен;БН;Английский язык;Казахстан;Казахстан;1;Россия;0.0;0.0;1;75;поступил сразу;10;1;1.0;4;20712;1998;17.75;44
Барнаул;Барнаул;50883;2013;40.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;74;поступил сразу;06;0;0.0;4;16936;1995;18.0833333333333;6861
Душанбе;Душанбе;71358;2015;34.0;Таджикистан;ФГБОУ ВПО;Муж;ОО;Английский язык;Таджикистан;не указано;1;Таджикистан;0.0;1.0;1;82;поступил сразу;04;0;0.0;4;17265;1993;22.25;42
Шемонаиха;Шемонаиха;74649;2016;51.0;Казахстан;средняя школа;Жен;ДН;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;0.0;1;65;поступил сразу;01;1;1.0;4;20666;1998;18.5;44
Кош;Кош;68671;2014;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;65;поступил сразу;01;0;0.0;4;17046;1973;41.5;32
Барнаул;Барнаул;90656;2019;27.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;49;поступил сразу;12;0;0.0;3;21923;1996;22.5833333333333;6861
Барнаул;Барнаул;108117;2020;24.0;не указано;ФГБОУ ВО;Муж;ОО;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;87;нет данных об обучении до ВУЗа;02;0;0.0;-1;22497;1998;22.4166666666667;6861
Бийск;Бийск;55156;2013;24.0;Бийск;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;85;поступил сразу;09;0;0.0;4;18120;1995;17.8333333333333;540
Барнаул;Барнаул;65427;2014;51.0;Барнаул;иное;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;73;два года;02;0;0.0;4;15424;1990;24.4166666666667;6861
Горняк;Горняк;83340;2017;26.0;Горно-Алтайск;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;69;поступил сразу;06;1;1.0;-1;21707;1999;18.0833333333333;44
Шэньян;Шэньян;88147;2018;51.0;Китай;средняя школа;Муж;ДН;Английский язык;Китай;провинция Ляонин;1;Китай;0.0;1.0;1;46;два года;09;1;1.0;3;20243;1998;19.8333333333333;9
Барнаул;Барнаул;86329;2018;27.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;73;поступил сразу;01;1;1.0;4;21005;1996;22.5;6861
Сибирский;Сибирский;68579;2014;25.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;51;поступил сразу;11;0;0.0;4;18263;1994;19.6666666666667;73
Барнаул;Барнаул;65463;2014;40.0;Москва;ФГБОУ ВПО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;88;один год;12;0;0.0;4;15392;1991;22.5833333333333;6861
Харбин;Харбин;88175;2018;51.0;Китай;средняя школа;Муж;ДН;Английский язык;Китай;пр.Хэйлунцзян;1;Китай;0.0;1.0;1;32;два года;04;1;1.0;3;20245;1997;21.25;12
неизвестно;неизвестно;48555;2012;24.0;не указано;не указано;Жен;СН;нет данных;Россия;не указано;0;не указана;0.0;0.0;1;85;нет данных об обучении до ВУЗа;08;1;1.0;4;14664;1994;17.9166666666667;490
Барнаул;Барнаул;75447;2016;24.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;90;поступил сразу;04;1;1.0;4;18529;1994;22.25;6861
Барнаул;Барнаул;55067;2013;24.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;82;поступил сразу;03;0;0.0;4;18118;1995;18.25;6861
Барнаул;Барнаул;44962;2012;25.0;иное;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;не указана;0.0;0.0;1;60;нет данных об обучении до ВУЗа;08;1;1.0;4;14710;1994;17.9166666666667;6861
Староалейское;Староалейское;49384;2013;31.0;Алтайский Край;средняя школа;Жен;ЦН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;69;поступил сразу;01;0;0.0;4;17394;1996;17.5;21
неизвестно;неизвестно;45077;2012;25.0;не указано;не указано;Муж;СН;Английский язык;не указана;не указано;0;не указана;0.0;0.0;1;43;нет данных об обучении до ВУЗа;07;1;1.0;3;11576;1991;21;490
Романово;Романово;72028;2015;34.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;59;поступил сразу;02;0;0.0;4;19565;1997;18.4166666666667;17
Рубцовск;Рубцовск;92079;2019;26.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;66;два года;02;0;0.0;3;21727;1999;20.4166666666667;190
Залесово;Залесово;80916;2017;27.0;иное;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;83;поступил сразу;04;1;1.0;4;19870;1995;22.1666666666667;29
Бийск;Бийск;77861;2016;48.0;Бийск;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;58.995;поступил сразу;01;1;1.0;3;18747;1999;17.5;540
малое поселение;Троицк;77028;2016;41.0;Алтайский Край;средняя школа;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;70.995;поступил сразу;03;1;1.0;4;19686;1998;18.3333333333333;5
Николаевка;Николаевка;77138;2016;41.0;Алтайский Край;средняя школа;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;71.67;поступил сразу;02;1;1.0;4;19679;2000;16.4166666666667;16
Барнаул;Барнаул;70166;2015;27.0;Барнаул;ФГБОУ ВО;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;30;поступил сразу;01;0;0.0;3;15888;1993;22.5;6861
Кызыл;Кызыл;80462;2017;40.0;Алтайский Край;Колледж;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;52;поступил сразу;09;1;1.0;3;20870;1996;20.8333333333333;19
Леньки;Леньки;72733;2015;41.0;Алтайский Край;средняя школа;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;72.195;поступил сразу;05;0;0.0;3;16020;1999;16.0833333333333;6
Барнаул;Барнаул;83430;2017;26.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;47;поступил сразу;03;1;1.0;-1;21705;1999;18.3333333333333;6861
Белокуриха;Белокуриха;45764;2012;28.0;не указано;не указано;Муж;ОО;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;65;нет данных об обучении до ВУЗа;07;1;1.0;3;19605;1994;18;88
Первомайское;Первомайское;76423;2016;25.0;Барнаул;ФГБОУ ВО;Муж;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;80;поступил сразу;06;1;1.0;4;18142;1994;22.0833333333333;29
Барнаул;Барнаул;71733;2015;26.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;62;поступил сразу;09;0;0.0;4;19436;1997;17.75;6861
Покровка;Покровка;68148;2014;26.0;Барнаул;ФГБОУ ВПО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;61;поступил сразу;10;0;0.0;4;18225;1994;19.75;15
неизвестно;неизвестно;46648;2012;40.0;не указано;не указано;Муж;БН;Английский язык;не указана;не указано;0;не указана;0.0;0.0;1;39;нет данных об обучении до ВУЗа;06;1;1.0;3;11680;1981;31;490
Барнаул;Барнаул;77996;2016;26.0;Барнаул;ФГБОУ ВО;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;97;поступил сразу;12;1;1.0;4;20894;1994;21.5833333333333;6861
Барнаул;Барнаул;89945;2019;51.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;70;поступил сразу;09;0;0.0;3;21397;2001;17.8333333333333;6861
Барнаул;Барнаул;66519;2014;25.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;поступил сразу;01;0;0.0;4;19398;1996;18.5;6861
